table_catalog,table_schema,table_name,table_type,self_referencing_column_name,reference_generation,user_defined_type_catalog,user_defined_type_schema,user_defined_type_name,is_insertable_into,is_typed,commit_action
orders-db,public,test_store_overviews,BASE TABLE,,,,,,YES,NO,
orders-db,public,dim_customer,BASE TABLE,,,,,,YES,NO,
orders-db,public,country_region,BASE TABLE,,,,,,YES,NO,
orders-db,public,my_store_overviews,BASE TABLE,,,,,,YES,NO,
orders-db,public,dim_date,BASE TABLE,,,,,,YES,NO,
orders-db,public,dim_product,BASE TABLE,,,,,,YES,NO,
orders-db,public,forview,BASE TABLE,,,,,,YES,NO,
orders-db,public,new_store_overview,BASE TABLE,,,,,,YES,NO,
orders-db,public,test_store_overviews_2,BASE TABLE,,,,,,YES,NO,
orders-db,public,dim_store,BASE TABLE,,,,,,YES,NO,
orders-db,public,orders,BASE TABLE,,,,,,YES,NO,
orders-db,public,my_store_overviewsnew,BASE TABLE,,,,,,YES,NO,
orders-db,public,test,BASE TABLE,,,,,,YES,NO,
orders-db,public,my_store_overviews_2,BASE TABLE,,,,,,YES,NO,
orders-db,public,forquerying2,BASE TABLE,,,,,,YES,NO,
